Term	TermType	en	de	es	fr	it	ja-JP	ko	pl	pt-BR	ru	zh-Hans	zh-Hant
LevelMechanics/TRAP_WALLARROW	LevelMechanics	Arrow Trap	Pfeilfalle	Trampa de flecha	Piège à flèche	Trappola a freccia	弓矢トラップ	화살 함정	Pułapka ze Strzałami	Armadilha de Flecha	Стреломет	飞箭陷阱	飛箭陷阱
LevelMechanics/TRAP_WALLARROW_DESC	LevelMechanics	Shoots an arrow every {0} seconds, dealing {1} [ELECTRIC] damage to the hit monster. Striking a tower will cause it to malfunction for 5 seconds.	Verschießt alle {0} Sek. einen Pfeil, der dem getroffenen Monster {1} [ELECTRIC]-Schaden zufügt. Trifft sie einen Turm, erleidet er 5 Sek. lang eine Fehlfunktion.	Dispara una fecha cada {0} segundos e inflige {1} de daño de [ELECTRIC] al monstruo golpeado. Golpear una torre hará que se interrumpa durante 5 segundos.	Tire une flèche toutes les {0} s, infligeant {1} pts de dégâts [ELECTRIC] au monstre touché. S'il touche une tour, celle-ci est en panne pendant 5 s.	Spara una freccia ogni {0} secondi, infliggendo {1} di danno [ELECTRIC] al mostro colpito. Colpire una torre ne causerà il malfunzionamento per 5 secondi.	{0}秒間隔で矢を放ち、当たったモンスターに{1}の[ELECTRIC]ダメージを与える。タワーに当たった場合、そのタワーは5秒間の動作不良を起こす。	{0}초마다 화살을 발사해 적중한 적에게 {1} [ELECTRIC] 피해를 줍니다. 타워를 공격하면 5초 동안 오작동을 일으킵니다.	Co {0} sekund wystrzeliwuje strzałę, zadając trafionemu potworowi {1} punktów obrażeń [ELECTRIC]. Trafienie w wieżę spowoduje jej awarię na 5 sekund.	Dispara uma flecha a cada {0} segundos, causando {1} de dano de [ELECTRIC] ao monstro atingido. Se atingir uma torre, ela sofrerá uma falha por 5 segundos.	Раз в {0} секунд выпускает стрелу, наносящую {1} ед. урона [ELECTRIC] пораженному монстру. При попадании в башню выводит ее из строя на 5 секунд.	每{0}秒发射一次，对击中的怪物造成{1}[ELECTRIC]属性伤害。击中炮塔时，会让炮塔进入5秒故障状态。	每{0}秒發射一次，對擊中的怪物造成{1}[ELECTRIC]屬性傷害。擊中砲塔時，會讓砲塔進入5秒故障狀態。
LevelMechanics/TRAP_GROUNDSAW	LevelMechanics	Saw Trap	Sägefalle	Trampa de sierra.	Piège à scie	Trappola a sega	ノコギリトラップ	톱 함정	Pułapka z Piłą	Armadilha de Serra	Ловушка с пилами	锯齿陷阱	鋸齒陷阱
LevelMechanics/TRAP_GROUNDSAW_DESC	LevelMechanics	Deals {0} + {1}% of the enemy's maximum health in normal damage to passing enemies every second, up to 100 damage.	Fügt vorbeikommenden Monstern jede Sek. normalen Schaden in Höhe von {0} + {1} % ihrer max.LP zu (max. 100 Schaden).	Inflige {0} + {1} % de la salud máxima del enemigo como daño normal a los enemigos que pasan cada segundo, hasta 100 de daño.	Inflige aux ennemis qui passent des dégâts égaux à {0} + {1} % de leurs PV max en tant que dégâts normaux chaque seconde, jusqu'à 100 pts.	Infligge {0} + {1}% della salute massima del nemico come danno normale ai nemici che passano ogni secondo, fino a un massimo di 100 di danno.	毎秒、通過するモンスターに対し、対象の最大HPの{1}%+{0}の通常ダメージを最大で100与える。	통과하는 적에게 {0} + 최대 체력의 {1}%에 해당하는 피해를 일반 피해로 주며, 최대 100 피해를 줍니다.	Zadaje przechodzącym wrogom co sekundę {0} + {1}% maksymalnego życia wroga jako obrażenia normalne, maksymalnie 100 obrażeń.	Inimigos que passarem por ele sofrem {0} + {1}% da Vida máxima como dano normal por segundo, até o máximo de 100 de dano.	Каждую секунду наносит проходящим врагам обычный урон в размере {0} + {1}% от их максимального запаса здоровья, но не более 100 ед. урона.	经过的敌人每秒受到{0} + {1}%最大生命值的普通伤害，最高100点。	經過的敵人每秒受到{0} + {1}%最大生命值的普通傷害，最高100點。
LevelMechanics/ACTIVATE_IN_ROUND	LevelMechanics	ACTIVATE IN {0} {0:plural:ROUND|ROUNDS}	AKTIVIERUNG IN {0} {0:plural:RUNDE|RUNDEN}	SE ACTIVA EN {0} {0:PLURAL:RONDA|RONDAS}	ACTIVATION DANS {0} {0:plural:ROUND|ROUNDS}	ATTIVAZIONE TRA {0} {0:plural:ROUND|ROUND}	発動まで{0}ラウンド	{0}{0:plural:라운드|라운드} 후 활성화	AKTYWACJA ZA {0} RUND	ATIVA APÓS {0} {0:plural:RODADA|RODADAS}	АКТИВАЦИЯ ЧЕРЕЗ {0} {0:plural:ROUND|ROUNDS}	{0}回合后启动	{0}回合後啟動
LevelMechanics/TRAP_FROSTWELL	LevelMechanics	Freeze Trap	Eisfalle	Trampa congelante	Piège à gel	Trappola del gelo	フリーズトラップ	동결 함정	Pułapka Zamrażająca	Armadilha de Congelamento	Замораживающая ловушка	冰冻陷阱	冰凍陷阱
LevelMechanics/TRAP_FROSTWELL_DESC	LevelMechanics	Inflicts {0} stacks of [CHILL] to passing monsters.	Belegt vorbeikommende Monster mit {0} Stapeln [CHILL].	Inflige {0} acumulaciones de [CHILL] a los monstruos que pasan.	Applique {0} cumuls de [CHILL] aux monstres qui passent.	Infligge {0} accumuli di [CHILL] ai mostri che passano.	通過するモンスターに{0}秒間の[CHILL]効果を付与する。	통과하는 적에게 [CHILL] {0}중첩을 적용합니다.	Nakłada {0} ładunków [CHILL] na przechodzące potwory.	Aplica {0} acúmulos de [CHILL] aos monstros que passarem por ele.	Накладывает {0} зарядов [CHILL] на проходящих мимо монстров.	对经过的怪物造成{0}层[CHILL]效果	對經過的怪物造成{0}層[CHILL]效果
LevelMechanics/ICEBLOCK	LevelMechanics	Ice Block	Eisblock	Bloque de hielo	Bloc de glace	Blocco di ghiaccio	氷ブロック	얼음 블록	Lodowy Klocek	Bloco de Gelo	Ледяной блок	滑动冰块	滑動冰塊
LevelMechanics/ICEBLOCK_DESC	LevelMechanics	You can place 2x2 towers on an ice block. Ice blocks can be moved freely during the preparation phase.	Auf Eisblöcke lassen sich 2x2-Türme aufstellen. Während der Vorbereitungsphase lassen sich Eisblöcke frei bewegen.	Puedes colocar torres 2x2 en un bloque de hielo. Los bloques de hielo se pueden mover libremente durante la fase de preparación.	Vous pouvez placer des tours 2x2 sur les blocs de glace, et déplacer ces blocs librement pendant la phase de préparation.	È possibile posizionare torri 2x2 su un blocco di ghiaccio. I blocchi di ghiaccio possono essere spostati liberamente durante la fase di preparazione.	氷ブロックは上に2×2タワーを設置し、準備フェーズの間、好きなように移動させることができる。	얼음 블록 위에 2x2 타워를 배치할 수 있습니다. 준비 단계 동안 얼음 블록을 자유롭게 움직일 수 있습니다.	Na lodowym klocku można umieścić wieże o wymiarach 2x2. Lodowe klocki można swobodnie przesuwać w fazie przygotowań.	Você pode construir torres 2x2 sobre um bloco de gelo. Os blocos de gelo podem ser movidos livremente durante a fase de preparação.	На ледяной блок можно ставить башни 2x2, а во время фазы подготовки его разрешено свободно передвигать.	冰块上可以放置2x2炮塔，并且在准备阶段时任意移动冰块的位置。	冰塊上可以放置2x2砲塔，並且在準備階段時任意移動冰塊的位置。
LevelMechanics/ICEBLOCK_CANT_MOVE_IN_BATTLE	LevelMechanics	Ice blocks cannot be moved during the battle phase.	Während der Kampfphase lassen sich Eisblöcke nicht bewegen.	Los bloques de hielo no se pueden mover durante la fase de batalla.	Les blocs de glace ne peuvent pas être déplacés pendant la phase de bataille.	I blocchi di ghiaccio non possono essere spostati durante la fase di combattimento.	バトルフェーズ中は氷ブロックを動かせない	전투 단계 중에는 얼음 블록을 움직일 수 없습니다.	W fazie walki nie można przesuwać lodowych klocków.	Blocos de gelo não podem ser movidos durante a batalha.	Во время фазы битвы двигать ледяные блоки нельзя.	战斗中不可移动冰块	戰鬥中不可移動冰塊
LevelMechanics/TRAP_ROLLINGLOG	LevelMechanics	Rolling Log Trap	Baumstamm-Falle	Trampa de tronco rodante	Piège à tronc	Trappola del tronco rotolante	丸太ローラートラップ	구르는 통나무 함정	Pułapka z Toczącą się Kłodą	Armadilha do Tronco Rolante	Ловушка с бревнами	滚木陷阱	滾木陷阱
LevelMechanics/TRAP_ROLLINGLOG_DESC	LevelMechanics	Rolls forward when an enemy steps on the button, dealing {0} + 10% of the enemy's max HP in damage (up to 1000) and stunning all monsters in its path! Resets at the start of each round.	Rollt nach vorne, wenn ein Feind auf den Auslöser tritt, fügt ihm Schaden in Höhe von {0} + 10 % seiner max.LP zu (max. 1.000 Schaden) und betäubt alle Monster auf seinem Weg! Wird zu Beginn jeder Runde zurückgesetzt.	Rueda hacia delante cuando un enemigo pisa el botón, inflige un daño igual a {0} + 10 % de los PS máximos del enemigo (hasta 1000) y aturde a todos los monstruos en su camino. Se restablece al comienzo de cada ronda.	Quand le bouton est pressé, se met à rouler et inflige des dégâts égaux à {0}+10 % des PV max (jusqu'à 1 000 pts) et étourdit tous les monstres sur son chemin ! Se réinitialise au début de chaque round.	Rotola frontalmente quando un nemico calpesta il pulsante, infliggendo {0} + il 10% dei HP massimi del nemico come danno (fino a 1.000) e stordendo tutti i mostri sul suo percorso! Si azzera all’inizio di ogni round.	ボタンが踏まれると前方にゴロゴロと転がり、進路上にいるモンスター全員に最大HPの10%+{0}のダメージとスタン効果を与える。各ラウンド開始時にリセットされる。	버튼을 밟은 적을 향해 굴러가며, {0} + 최대 체력의 10%에 해당하는 피해(최대 1,000)를 주며, 경로에 있는 모든 적을 기절시킵니다! 라운드 시작 시 초기화됩니다.	Toczy się do przodu, gdy wróg nadepnie na przycisk, zadając {0} + 10% maksymalnych punktów życia wroga (maksymalnie 1000) oraz ogłuszając wszystkie potwory na swojej drodze! Resetuje się na początku każdej rundy.	Rola para a frente quando um inimigo pisa no botão, causando {0} + 10% da Vida máxima do inimigo em dano (até 1000) e atordoando todos os monstros em seu caminho! É redefinido no início de cada rodada.	При нажатии на кнопку катится вперед, наносит монстрам на пути {0} + 10% от их макс. здоровья урона (но не более 1000) и оглушает их! Сбрасывается в начале каждого раунда.	当怪物踩到按钮时，向前滚动对路径上的怪物造成{0}+10%最大生命值的伤害(最多1000点)，并造成晕眩效果！每回合开始时会重置。	當怪物踩到按鈕時，向前滾動對路徑上的怪物造成{0}+10%最大生命值的傷害(最多1000點)，並造成暈眩效果！每回合開始時會重置。
LevelMechanics/CHARGE_STATION	LevelMechanics	Charging Station	Ladestation	Estación de carga	Borne de charge	Stazione di ricarica	帯電装置	충전소	Stacja Ładująca	Estação de Energia	Зарядная станция	充电站	充電站
LevelMechanics/CHARGE_STATION_DESC	LevelMechanics	Connect blocks to the Charging Station to transmit power to machines that require electricity!	Verbinde Blöcke mit der Ladestation, um Maschinen mit Strom zu versorgen!	¡Conecta bloques a la estación de carga para transmitir energía a las máquinas que necesitan electricidad!	Reliez les blocs à la Borne de charge pour envoyer de l'électricité aux machines qui en ont besoin !	Collega i blocchi alla Stazione di ricarica per trasmettere energia alle macchine che necessitano di elettricità!	ブロックを帯電装置に繋げて、電力を必要とする機械に給電しよう！	블록을 충전소에 연결하면 전기가 필요한 기계에 전력을 공급합니다!	Połącz klocki ze stacją ładującą, aby dostarczyć energię do maszyn wymagających zasilania elektrycznego!	Conecte blocos à Estação de Energia para transmitir energia às máquinas que precisam de eletricidade!	Соединяйте блоки с зарядной станцией, чтобы запитать энергией механизмы, которым нужно электричество!	将方块与充电站连接，就可以将电能传送到需要电力的设施！	將方塊與充電站連接，就可以將電能傳送到需要電力的設施！
LevelMechanics/WEATHER_DEVICE_SUNNY	LevelMechanics	Weather Simulator: Firestorm	Wettersimulator: Feuersturm	Simulador de clima: Tormenta de fuego	Simulateur météo : tempête de feu	Simulatore meteorologico: Tempesta di fuoco	天候シミュレーター〈火災旋風〉	날씨 시뮬레이터: 화염 폭풍	Symulator Pogody: Ognista Burza	Simulador Climático: Tempestade de Fogo	Погодный симулятор: Огненная буря	天气模拟装置：火风暴	天氣模擬裝置：火風暴
LevelMechanics/WEATHER_DEVICE_SUNNY_DESC	LevelMechanics	When powered on, this periodically generates Fire Tornadoes on the battlefield.\nFire Tornadoes deal 2 [FIRE] damage every 0.5 seconds to passing monsters and inflict [BURN] for 5 seconds.	Ist er aktiv, werden immer wieder Feuertornados auf dem Spielfeld erzeugt.\n Feuertornados fügen vorbeikommenden Monstern alle 0,5 Sek. 2 [FIRE]-Schaden zu und setzen 5 Sek. lang in [BURN].	Cuando se activa, se generan tornados de fuego cada cierto tiempo en el campo de batalla.\nLos tornados de fuego infligen 2 de daño de [FIRE] cada 0,5 segundos a los monstruos que pasan e infligen [BURN] durante 5 segundos.	Branché, il change la météo et génère des Tornades de feu périodiques sur le champ de bataille.\nLes Tornades de feu infligent 2 pts de dégâts [FIRE] toutes les 0,5 s aux monstres de passage et [BURN] pendant 5 s.	Quando viene acceso, genera periodicamente dei tornado di fuoco sul campo di battaglia.\nI tornado di fuoco infliggono 2 di danno da [FIRE] ogni 0,5 secondi ai mostri che li attraversano e causano [BURN] per 5 secondi.	作動している間天候を変え、一定間隔で炎の竜巻をフィールド上に発生させる。\n炎の竜巻を通過するモンスターは0.5秒ごとに2の[FIRE]ダメージを受け、5秒間の[BURN]効果を付与される。	전력 공급 시, 주기적으로 필드에 화염 폭풍을 생성합니다.\n화염 폭풍은 통과하는 적들에게 0.5초마다 2 [FIRE] 피해를 주고 5초 동안 [BURN] 효과를 적용합니다.	Po włączeniu, urządzenie to okresowo generuje na polu bitwy Ogniste Tornada. Ogniste Tornada zadają 2 punkty obrażeń typu [FIRE] co 0,5 sekundy przechodzącym obok potworom oraz nakładają efekt [BURN] na 5 sekund.	Quando energizado, periodicamente gera Tornados de Fogo no campo de batalha.\nOs Tornados de Fogo causam 2 de dano de [FIRE] a cada 0,5 segundo aos monstros que passam por eles e aplicam [BURN] por 5 segundos.	При активации меняет погоду, периодически порождая на поле боя огненные торнадо.\n Огненные торнадо наносят пробегающим монстрам 2 ед. урона стихией [FIRE] каждые 0,5 сек. и на 5 сек. накладывают эффект [BURN].	通电启动后改变天气，不定期的在场上产生火龙卷，对经过的怪物每0.5秒造成2点[FIRE]属性伤害，并进入[BURN]状态5秒。	通電啟動後改變天氣，不定期的在場上產生火龍捲，對經過的怪物每0.5秒造成2點[FIRE]屬性傷害，並進入[BURN]狀態5秒。
LevelMechanics/WEATHER_DEVICE_ACIDRAIN	LevelMechanics	Weather Simulator: Acid Rain	Wettersimulator: Säureregen	Simulador de clima: Lluvia ácida	Simulateur météo : pluie acide	Simulatore meteorologico: Pioggia acida	天候シミュレーター〈酸性雨〉	날씨 시뮬레이터: 산성비	Symulator Pogody: Kwaśny Deszcz	Simulador Climático: Chuva Ácida	Погодный симулятор: Кислотный дождь	天气模拟装置：酸雨	天氣模擬裝置：酸雨
LevelMechanics/WEATHER_DEVICE_ACIDRAIN_DESC	LevelMechanics	When powered on, this summons acid rain, dealing [POISON] damage equal to 0.5% of each monster's max HP per second (up to 50). Does not affect Bosses.	Ist er aktiv, wird Säureregen erzeugt, der pro Sek. Schaden in Höhe von 0,5 % der max. LP jedes Monsters zufügt (max. 50). Wirkt nicht bei Bossen.	Cuando se activa, se genera una lluvia ácida que inflige daño de [POISON] equivalente al 0,5 % de los PS máximos de cada monstruo por segundo (hasta 50). No afecta a los jefes.	Branché, il fait tomber des pluies acides, infligeant des dégâts [POISON] égaux à 0,5 % des PV max de chaque monstre par seconde (jusqu'à 50 pts). N'affecte pas les boss.	Quando viene attivato, questo dispositivo evoca una pioggia acida, infliggendo danni [POISON] pari allo 0,5% dei HP massimi di ciascun mostro al secondo (fino a 50). Non ha effetto sui boss.	作動している間、酸性雨を生成し、各モンスターに最大HPの0.5%分の[POISON]ダメージを毎秒与える。ボス相手には効果なし。	전력 공급 시, 산성비를 소환해 매초 적 최대 체력의 0.5%에 해당하는 [POISON] 피해(최대 50)를 줍니다. 보스에게는 영향을 주지 않습니다.	Po włączeniu urządzenie to wywołuje kwaśny deszcz, zadający obrażenia [POISON] równe 0,5% maksymalnych punktów życia każdego potwora na sekundę (maksymalnie 50). Nie działa na bossów.	Quando energizado, invoca uma chuva ácida que causa dano de [POISON] equivalente a 0,5% da Vida máxima de cada monstro por segundo (até 50). Não afeta Chefes.	При активации призывает кислотный дождь, наносящий монстрам урон стихией [POISON] в размере 0,5% от их макс. здоровья в секунду (но не более 50). Не действует на боссов.	通电启动后降下酸雨，所有怪物会每秒受到0.5%最大生命值的[POISON]属性伤害，最多50点，对Boss无效。	通電啟動後降下酸雨，所有怪物會每秒受到0.5%最大生命值的[POISON]屬性傷害，最多50點，對Boss無效。
LevelMechanics/WEATHER_DEVICE_SNOW	LevelMechanics	Weather Simulator: Blizzard	Wettersimulator: Schneesturm	Simulador de clima: Ventisca	Simulateur météo : blizzard	Simulatore meteorologico: Bufera di neve	天候シミュレーター〈吹雪〉	날씨 시뮬레이터: 눈보라	Symulator Pogody: Zamieć	Simulador Climático: Nevasca	Погодный симулятор: Метель	天气模拟装置：暴风雪	天氣模擬裝置：暴風雪
LevelMechanics/WEATHER_DEVICE_SNOW_DESC	LevelMechanics	When powered on, this creates a blizzard that applies 1 stack of [CHILL] to all monsters every second. Does not affect Bosses.	Ist er aktiv, wird ein Schneesturm erzeugt, der alle Monster jede Sek. mit 1 Stapel [CHILL] belegt. Wirkt nicht bei Bossen.	Cuando se activa, crea una ventisca que aplica 1 acumulación de [CHILL] a todos los monstruos cada segundo. No afecta a los jefes.	Branché, il crée un blizzard qui applique 1 cumul de [CHILL] à tous les monstres chaque seconde. N'affecte pas les boss.	Quando viene attivato, questo dispositivo crea una bufera di neve che applica 1 accumulo di [CHILL] a tutti i mostri ogni secondo. Non ha effetto sui boss.	作動している間、吹雪を生成し全てのモンスターに毎秒1の[CHILL]スタックを与える。ボス相手には効果なし。	전력 공급 시, 모든 적에게 매초 [CHILL] 1중첩을 적용하는 눈보라를 생성합니다. 보스에게는 영향을 주지 않습니다.	Po włączeniu, urządzenie to wywołuje zamieć, która co sekundę nakłada 1 ładunek efektu [CHILL] na wszystkie potwory. Nie działa na bossów.	Quando energizado, cria uma nevasca que aplica 1 acúmulo de [CHILL] a todos os monstros por segundo. Não afeta Chefes.	При активации вызывает метель, которая каждую секунду накладывает 1 заряд [CHILL] на всех монстров. Не действует на боссов.	通电启动后产生暴风雪，每秒对所有怪物堆叠一层[CHILL]，对Boss无效。	通電啟動後產生暴風雪，每秒對所有怪物堆疊一層[CHILL]，對Boss無效。
LevelMechanics/WEATHER_DEVICE_LIGHTNING_STORM	LevelMechanics	Weather Simulator: Thunderstorm	Wettersimulator: Gewitter	Simulador de clima: Tormenta	Simulateur météo : orage électrique	Simulatore meteorologico: Tempesta	天候シミュレーター〈雷雨〉	날씨 시뮬레이터: 뇌우	Symulator Pogody: Burza z Piorunami	Simulador Climático: Tempestade	Погодный симулятор: Гроза	天气模拟装置：雷雨	天氣模擬裝置：雷雨
LevelMechanics/WEATHER_DEVICE_LIGHTNING_STORM_DESC	LevelMechanics	When powered on, this creates a thunder storm. All monsters gain 5% [CHARGE] buildup per second, and take 5 [ELECTRIC] damage when Charge triggers.	Ist es aktiv, wird ein Gewitter erzeugt. Alle Monster werden jede Sek. mit 5 % [CHARGE] belegt und erleiden 5 [ELECTRIC]-Schaden, wenn sich die Aufladung auslöst.	Cuando se activa, crea una tormenta. Todos los monstruos obtienen 5 % de acumulación de [CHARGE] por segundo y reciben 5 de daño de [ELECTRIC] cuando se activa la carga.	Branché, il crée un orage électrique. Tous les monstres gagnent 5 % de [CHARGE] par seconde, et subissent 5 pts de dégâts [ELECTRIC] quand la Charge se déclenche.	Quando viene attivato, crea una tempesta. Tutti i mostri accumulano il 5% di [CHARGE] al secondo e subiscono 5 danni [ELECTRIC] quando la Scarica si attiva.	作動している間、雷雨を生成し全てのモンスターに毎秒5%の[CHARGE]効果を与える。[CHARGE]効果が発動すると、5の[ELECTRIC]ダメージが発生する。	전력 공급 시, 뇌우를 생성합니다. 매초 모든 적이 5% [CHARGE] 효과를 누적하고 충전 발동 시 5 [ELECTRIC] 피해를 받습니다.	Po włączeniu, urządzenie to wywołuje burzę z piorunami. Wszystkie potwory zyskują 5% naładowania [CHARGE] na sekundę i otrzymują 5 obrażeń [ELECTRIC], gdy naładowanie się uruchomi.	Quando energizado, cria uma tempestade. Todos os monstros acumulam 5% de [CHARGE] por segundo e recebem 5 de dano de [ELECTRIC] quando este efeito for ativado.	При активации вызывает грозу. Все монстры накапливают по 5% к заряду [CHARGE] в секунду и получают 5 ед. урона стихией [ELECTRIC] при срабатывании заряда.	通电启动后改变天气，所有怪物每秒会增加5%的[CHARGE]，对Boss无效。\n当蓄电效果触发时，怪物会受到5点[ELECTRIC]属性伤害。	通電啟動後改變天氣，所有怪物每秒會增加5%的[CHARGE]，對Boss無效。\n當蓄電效果觸發時，怪物會受到5點[ELECTRIC]屬性傷害。
LevelMechanics/BLOCK_FACTORY	LevelMechanics	Block Factory	Blockfabrik	Fábrica de bloques	Usine de blocs	Fabbrica dei blocchi	ブロック製造機	블록 공장	Fabryka Klocków	Fábrica de Blocos	Фабрика блоков	方块工厂	方塊工廠
LevelMechanics/BLOCK_FACTORY_DESC	LevelMechanics	When powered on for the first time, you immediately receive one random block card.\nWhile powered on, your maximum hand size increases by 1, and you gain another random block card at the start of each turn.	Bei der ersten Aktivierung erhältst du sofort eine Blockkarte.\nBleibt sie länger aktiviert, erhöht sich deine max. Handgröße um 1 und du erhältst zu Beginn jeder Runde eine weitere Blockkarte.	Cuando se activa por primera vez, inmediatamente recibes una carta de bloque aleatoria.\nMientras esté funcionando, aumentas en 1 las cartas de tu mano y obtienes otra carta de bloque aleatoria al comienzo de cada turno.	Lors du 1er branchement, vous octroie immédiatement une carte bloc aléatoire.\nTant qu'elle est branchée, la capacité max de votre main augmente de 1, et au début de chaque tour, vous recevez une autre carte bloc aléatoire.	Quando viene attivata per la prima volta, ricevi immediatamente una carta blocco casuale.\nMentre è attiva, la dimensione massima della tua mano aumenta di 1 e ricevi un’altra carta blocco casuale all’inizio di ogni turno.	初起動時、1枚のランダムなブロックカードを即座に獲得できる。 作動している間は手札上限が1枚増加し、各ターン開始時にランダムなブロックカードをもう1枚獲得できる。	처음으로 전력 공급 시, 즉시 무작위 블록 카드 하나를 받습니다.\n전력 공급 시, 최대 손 크기가 1 증가하고 턴 시작 시 무작위 블록 카드를 획득합니다.	Po pierwszym włączeniu natychmiast otrzymujesz jedną losową kartę klocka. Gdy urządzenie jest włączone, maksymalna liczba kart w twojej ręce zwiększa się o 1, a na początku każdej tury otrzymujesz kolejną losową kartę klocka.	Ao ser energizado pela primeira vez, você recebe imediatamente uma carta de bloco aleatória.\nEnquanto estiver energizado, o limite máximo da sua mão aumenta em 1 e, no início de cada rodada, você recebe outra carta de bloco aleatória.	При первой активации вы сразу же получаете случайную карту блока.\n Пока эта способность активна, максимальный размер руки увеличивается на 1, а в начале каждого хода вы получаете еще одну случайную карту блока.	第一次通电启动时会立即获得一张随机方块卡。\n通电状态下，手牌最大张数+1，并且每回合开始时会再获得一张随机方块卡。	第一次通電啟動時會立即獲得一張隨機方塊卡。\n通電狀態下，手牌最大張數+1，並且每回合開始時會再獲得一張隨機方塊卡。
LevelMechanics/GOLD_FACTORY	LevelMechanics	Gold Furnace	Goldofen	Fragua de oro	Fourneau à or	Fornace d’oro	ゴールド溶鉱炉	골드 용광로	Piec Złota	Fornalha de Ouro	Золотая плавильня	黄金熔炉	黃金熔爐
LevelMechanics/GOLD_FACTORY_DESC	LevelMechanics	When powered on for the first time, you immediately gain [C1]15 Gold[C0].\nWhile powered on, you earn [C1]30 Gold[C0] at the end of each turn.	Bei der ersten Aktivierung erhältst du sofort [C1]15 Gold[C0].\nBleibt er länger aktiviert, verdienst du am Ende jeder Runde [C1]30 Gold[C0].	Cuando se activa por primera vez, inmediatamente obtienes [C1]15 de oro[C0].\nMientras esté funcionando, ganas [C1]30 de oro[C0] al final de cada turno.	Lors du 1er branchement, vous octroie immédiatement [C1]15 pièces d'or[C0].\nTant qu'il est branché, vous gagnez [C1]30 pièces d'or[C0] à la fin de chaque tour.	Quando viene attivata per la prima volta, ottieni immediatamente [C1]15 in oro[C0]. Mentre è attiva, guadagni [C1]30 in oro[C0] alla fine di ogni turno.	初起動時、[C1]15ゴールド[C0]を即座に獲得できる。 作動している間、各ターン終了時に[C1]30ゴールド[C0]獲得できる。	처음으로 전력 공급 시, 즉시 [C1]15골드[C0]를 획득합니다.\n전력 공급 시, 턴 종료 시 [C1]30골드[C0]를 획득합니다.	Po pierwszym włączeniu natychmiast otrzymujesz [C1]15 złota[C0]. Gdy jest włączony, na końcu każdej tury zarabiasz [C1]30 złota[C0].	Ao ser energizada pela primeira vez, você recebe imediatamente [C1]15 de Ouro[C0].\nEnquanto permanecer energizada, você recebe [C1]30 de Ouro[C0] ao final de cada rodada.	При первой активации вы сразу же получаете [C1]15 монет золота[C0].\n Пока активировано питание, вы получаете [C1]30 монет золота[C0] в конце каждого хода.	第一次通电启动时会立即获得[C1]15金币[C0]。\n通电状态下，每回合结束时得到[C1]30金币[C0]。	第一次通電啟動時會立即獲得[C1]15金幣[C0]。\n通電狀態下，每回合結束時得到[C1]30金幣[C0]。
LevelMechanics/GOLD_FACTORY_NOTIFICATION	LevelMechanics	You gained [C1]{0} Gold[C0] from the Gold Furnace!	Der Goldofen hat [C1]{0} Gold[C0] produziert!	¡Has recibido [C1]{0} de oro[C0] de la fragua de oro!	Vous avez reçu [C1]{0} pièces[C0] du Fourneau à or !	Hai ottenuto [C1]{0} in oro[C0] dalla Fornace d’oro!	ゴールド溶鉱炉の効果で\n[C1]{0}ゴールド[C0]獲得！	골드 용광로에서 [C1]{0}골드[C0]를 획득했습니다!	Otrzymałeś [C1]{0} złota[C0] z Pieca Złota!	Você ganhou [C1]{0} de Ouro[C0] da Fornalha de Ouro!	Вы заработали [C1]{0} монет золота[C0] из золотой печи!	你从黄金熔炉获得了[C1]{0}金币[C0]！	你從黃金熔爐獲得了[C1]{0}金幣[C0]！
LevelMechanics/CANNON_FACTORY	LevelMechanics	Tower Assembly System	Turmbausystem	Sistema de montaje de torre	Assembleur de tours	Sistema di assemblaggio delle torri	タワー組立装置	타워 조립 시스템	System Montażu Wież	Sistema de Montagem de Torres	Система сборки башен	炮塔组装系统	砲塔組裝系統
LevelMechanics/CANNON_FACTORY_DESC	LevelMechanics	While powered on, your maximum hand size increases by 1.\nAt the end of each turn, you receive a random [C1]2x2 tower card[C0].	Ist es aktiv, erhöht sich deine max. Handgröße um 1.\nAm Ende jeder Runde erhältst du eine [C1]2x2-Turmkarte[C0].	Cuando se activa, aumentas en 1 las cartas de tu mano.\nAl final de cada turno, recibes una [C1]carta de torre 2x2[C0] aleatoria.	Branché, augmente la capacité maximum de votre main de 1.\nÀ la fin de chaque tour, vous recevez une [C1]carte tour 2x2[C0] aléatoire.	Quando viene attivato, il numero massimo di carte in mano aumenta di 1.\nAlla fine di ogni turno, ricevi una [C1]carta torre 2x2[C0] casuale.	作動している間、手札上限が1枚増加する。 各ターン終了時、ランダムな[C1]2×2タワーカード[C0]を1枚獲得できる。	전력 공급 시, 최대 손 크기가 1 증가합니다.\n턴 종료 시, 무작위 [C1]2x2 타워 카드[C0]를 받습니다.	Gdy system jest włączony, maksymalna liczba kart na ręce wzrasta o 1. Pod koniec każdej tury otrzymujesz losową kartę wieży [C1]2x2[C0].	Quando energizado, o limite da sua mão aumenta em 1.\nAo final de cada rodada, você recebe uma [C1]carta de torre 2x2[C0] aleatória.	Пока активировано питание, максимальный размер руки увеличивается на 1.\n В конце каждого хода вы получаете случайную [C1]карту башни 2х2[C0].	通电启动时，手牌最大张数+1。\n每回合结束时得到一张随机的[C1]2x2炮塔卡片[C0]。	通電啟動時，手牌最大張數+1。\n每回合結束時得到一張隨機的[C1]2x2砲塔卡片[C0]。
